# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dolls
# Exported by: Mitt Romney
setting:	replacespawns 0
weapon_ttt_smokegrenade	-553.928040 267.422607 -702.506165	18.211 50.539 -89.059
weapon_ttt_smokegrenade	-381.572693 275.897461 -703.866333	-1.033 -1.285 -0.602
weapon_ttt_smokegrenade	-305.214722 382.979553 -703.888916	-1.274 -1.213 -0.742
weapon_ttt_smokegrenade	-328.586456 488.356750 -703.873840	-1.113 -1.266 -0.649
ttt_random_weapon	645.495422 -642.449280 -534.791504	1.779 4.773 -92.817
ttt_random_weapon	637.134155 -668.999451 -534.797241	1.844 4.778 -92.667
ttt_random_weapon	621.215149 -735.194336 -534.770508	1.542 4.757 -93.360
ttt_random_weapon	623.851318 -773.656006 -534.780273	1.653 4.765 -93.106
ttt_random_weapon	565.029114 -788.751831 -534.802063	1.298 5.051 -93.545
ttt_random_weapon	527.314148 -670.624451 -527.994812	-26.139 2.914 -3.064
ttt_random_weapon	571.369263 -595.591187 -534.864746	2.430 4.027 -91.128
ttt_random_weapon	590.971375 -585.523193 -534.791321	1.778 4.441 -92.820
ttt_random_weapon	537.857300 -571.420715 -534.768372	1.518 4.755 -93.415
ttt_random_weapon	495.786041 -717.584839 -534.771973	1.559 4.758 -93.322
ttt_random_weapon	531.143860 -752.637329 -534.770752	1.545 4.757 -93.352
item_ammo_smg1_ttt	-411.381866 430.467224 -703.453735	0.007 -0.370 0.014
item_ammo_smg1_ttt	-511.304108 378.997864 -703.522583	-0.504 0.001 0.219
item_ammo_smg1_ttt	-688.008057 238.816956 -703.608276	-0.109 0.005 0.061
item_ammo_smg1_ttt	-451.815735 239.782104 -703.608276	-0.109 0.005 0.061
item_ammo_smg1_ttt	-548.254578 251.339844 -703.488220	0.302 -0.012 -0.256
item_ammo_smg1_ttt	-544.412048 363.579010 -703.470703	0.174 -0.016 -0.151
item_ammo_smg1_ttt	-594.363098 438.472351 -703.584229	-0.335 0.005 0.213
item_ammo_smg1_ttt	-530.651489 518.568481 -703.579834	-0.419 0.004 0.269
item_ammo_smg1_ttt	-481.390411 596.225769 -703.586487	-0.300 0.005 0.190
item_ammo_smg1_ttt	-543.377991 688.377075 -703.481995	0.231 -0.013 -0.202
item_ammo_smg1_ttt	203.624207 -186.659088 -703.610901	0.098 -0.005 0.053
item_ammo_smg1_ttt	170.403259 -186.849152 -703.469666	-0.169 0.016 -0.147
item_ammo_smg1_ttt	151.026306 -185.836914 -703.459656	-0.117 0.017 -0.103
item_ammo_smg1_ttt	126.542206 -187.670486 -703.445862	-0.007 3.169 0.057
item_ammo_smg1_ttt	103.132263 -185.656021 -703.621765	0.065 -0.005 0.030
item_ammo_smg1_ttt	120.881050 -168.096710 -703.456482	0.005 3.817 0.011
item_ammo_smg1_ttt	132.981827 -155.879120 -703.447327	0.365 0.159 0.334
item_ammo_smg1_ttt	145.760788 -143.232681 -703.449524	-0.003 8.270 -0.090
item_ammo_smg1_ttt	163.012207 -128.678925 -697.925720	88.967 36.952 2.849
item_ammo_smg1_ttt	151.734268 -121.032333 -703.440063	-0.042 -0.843 0.005
item_ammo_smg1_ttt	132.245514 -101.467613 -703.610901	0.098 -0.005 0.053
item_ammo_smg1_ttt	109.580231 -74.024452 -703.605713	0.122 -0.005 0.069
item_ammo_smg1_ttt	126.592400 -71.160393 -703.567383	0.830 -0.001 0.544
item_ammo_smg1_ttt	152.653275 -72.933968 -703.524231	0.560 -0.071 0.256
item_ammo_smg1_ttt	172.476944 -73.149574 -703.579834	0.420 -0.004 0.270
item_ammo_smg1_ttt	190.979843 -71.842560 -703.479065	-0.236 0.015 -0.203
item_ammo_smg1_ttt	190.328445 -8.213962 -703.476013	-0.222 0.016 -0.191
item_ammo_smg1_ttt	170.888840 -5.505306 -703.522400	0.548 -0.084 0.242
item_ammo_smg1_ttt	150.606171 -5.090627 -703.577698	0.468 -0.004 0.302
item_ammo_smg1_ttt	127.939499 -3.537242 -703.616272	0.079 -0.005 0.040
item_ammo_smg1_ttt	106.112473 -2.041557 -703.523132	-0.401 -0.180 -0.329
item_ammo_smg1_ttt	111.410446 21.281738 -694.275330	0.038 18.953 -87.953
item_ammo_smg1_ttt	124.261429 38.418495 -698.001648	88.549 22.670 3.055
item_ammo_smg1_ttt	152.896332 26.868059 -703.525330	0.567 -0.014 0.258
item_ammo_smg1_ttt	166.421127 39.929897 -703.514160	0.230 -2.129 0.156
item_ammo_smg1_ttt	178.728806 52.637638 -703.474854	0.285 0.309 0.401
item_ammo_smg1_ttt	774.352783 -975.618225 -103.459961	0.513 1.482 0.183
item_ammo_smg1_ttt	762.002747 -976.351685 -103.455025	-0.197 -1.271 -0.015
