# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_bestbuy
# Exported by: Mitt Romney
setting:	replacespawns 0
weapon_ttt_smokegrenade	584.648376 -413.088806 17.197670	-1.043 -1.477 -0.750
weapon_ttt_smokegrenade	578.838196 -416.068756 17.185150	-1.232 -1.270 -1.180
weapon_ttt_smokegrenade	571.882385 -402.508301 17.158566	-2.313 -1.299 -1.665
ttt_random_weapon	-244.446442 1247.279419 18.221571	1.615 5.721 -93.260
ttt_random_weapon	-533.401123 869.041565 18.191582	1.934 5.710 -92.604
ttt_random_weapon	-591.398743 1107.159058 18.213280	1.703 5.717 -93.078
ttt_random_weapon	-618.156982 1070.646606 18.170385	2.159 5.699 -92.141
ttt_random_weapon	-556.773193 1150.588623 18.161669	2.251 5.678 -91.951
ttt_random_weapon	-377.914185 1296.070068 18.192430	1.925 5.709 -92.622
ttt_random_weapon	976.808594 509.918091 53.164566	2.135 5.633 -92.247
ttt_random_weapon	1510.744019 -642.876648 54.199524	1.850 5.713 -92.777
ttt_random_weapon	1466.734619 -632.311340 54.188953	1.962 5.706 -92.546
ttt_random_weapon	1506.420654 -618.602173 54.160343	2.265 5.679 -91.922
item_ammo_smg1_ttt	732.940491 1098.320190 17.532286	0.259 0.413 0.065
item_ammo_smg1_ttt	742.313660 1078.467041 17.528242	-0.211 8.438 0.112
item_ammo_smg1_ttt	738.912048 1060.930908 26.746410	0.000 2.927 88.376
item_ammo_smg1_ttt	813.937866 1111.395630 17.560953	-0.055 -0.044 -0.021
item_ammo_smg1_ttt	813.846252 1088.317505 17.520914	0.169 -0.052 0.177
item_ammo_smg1_ttt	807.613892 1065.071777 26.608032	-0.156 9.969 87.396
item_box_buckshot_ttt	732.717773 782.633057 17.422852	-0.779 -0.007 0.664
item_box_buckshot_ttt	733.844055 792.867249 17.406492	-0.879 -0.021 0.608
item_box_buckshot_ttt	731.604187 804.817566 17.383234	-0.568 -0.004 0.544
item_box_buckshot_ttt	809.817871 824.784851 17.385582	-1.003 -0.011 0.895
item_box_buckshot_ttt	813.808777 806.330139 17.389318	-0.994 0.020 0.880
item_box_buckshot_ttt	813.481445 788.775330 17.350555	0.837 0.002 -0.670
ttt_random_ammo	-210.196289 1259.185913 17.394688	0.873 0.010 1.010
ttt_random_ammo	-233.867371 1289.799683 17.332747	0.045 0.000 -0.027
ttt_random_ammo	-221.733566 1237.191406 17.325233	0.045 0.000 -0.031
ttt_random_ammo	-527.554810 1223.335083 17.372728	0.104 0.000 0.064
ttt_random_ammo	-523.012634 845.280884 17.363441	0.068 -0.000 -0.017
ttt_random_ammo	-496.640564 844.943909 17.351145	0.050 0.000 -0.011
ttt_random_ammo	-486.490967 861.906616 17.393282	0.667 0.006 0.759
ttt_random_ammo	-499.016235 873.167664 17.335197	0.045 -0.000 0.026
ttt_random_ammo	-525.401611 1154.022705 17.370951	0.094 0.000 0.052
ttt_random_ammo	-521.621216 1095.852539 17.428501	1.226 0.030 1.463
ttt_random_ammo	-601.591980 1167.993652 17.361490	0.064 0.000 0.010
ttt_random_ammo	-639.634766 1117.618530 17.419985	1.416 -0.032 -1.699
ttt_random_ammo	-657.380615 1085.214478 17.355389	0.054 0.000 -0.004
ttt_random_ammo	-656.429138 1044.005981 17.339941	0.045 -0.000 0.023
ttt_random_ammo	-633.339966 1023.383972 17.351156	0.051 -0.000 0.011
ttt_random_ammo	-543.193298 1080.296143 17.365383	0.073 0.000 0.024
ttt_random_ammo	-585.768982 1086.911865 17.369131	0.086 0.000 0.041
ttt_random_ammo	-572.971252 1050.365723 17.361485	0.064 -0.000 -0.010
ttt_random_ammo	-346.810699 1311.982666 17.357458	0.057 0.000 -0.000
ttt_random_ammo	-387.350403 1322.918579 17.335173	0.045 0.000 -0.026
ttt_random_ammo	-402.885651 1317.425293 17.382524	0.205 0.001 0.192
