# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_flatgrass
# Exported by: Mitt Romney
setting:	replacespawns 0
ttt_random_weapon	-769.638062 -687.789551 -12286.786133	1.719 4.930 -92.954
ttt_random_weapon	-450.551239 -578.227844 -12286.766602	1.501 4.915 -93.455
ttt_random_weapon	-119.344803 -379.978943 -12286.765625	1.488 4.914 -93.483
ttt_random_weapon	583.933105 184.113220 -12286.775391	1.593 4.923 -93.242
ttt_random_weapon	-268.558533 388.383881 -12286.768555	1.517 4.916 -93.418
ttt_random_weapon	-60.989838 223.746994 -12286.790039	1.762 4.932 -92.855
ttt_random_weapon	-154.061890 670.406067 -12286.810547	1.989 4.925 -92.336
ttt_random_weapon	-465.734192 476.729065 -12286.769531	1.531 4.918 -93.385
ttt_random_weapon	-354.811523 107.547134 -12286.782227	1.670 4.928 -93.067
ttt_random_weapon	-515.057983 322.497437 -12286.803711	1.914 4.933 -92.507
ttt_random_weapon	-445.552063 573.769043 -12286.781250	1.660 4.927 -93.090
ttt_random_weapon	-367.081116 725.003296 -12286.792969	1.796 4.933 -92.778
ttt_random_weapon	-160.882416 364.017242 -12286.794922	1.818 4.932 -92.728
ttt_random_weapon	423.361206 94.564262 -12286.809570	1.979 4.924 -92.358
ttt_random_weapon	5.974624 622.118408 -12286.777344	1.614 4.924 -93.195
ttt_random_weapon	403.126862 771.722717 -12286.783203	1.686 4.928 -93.031
ttt_random_weapon	67.236145 233.447815 -12286.784180	1.697 4.929 -93.006
ttt_random_weapon	-87.279984 -132.955383 -12286.804688	1.923 4.928 -92.487
ttt_random_weapon	-111.814796 -187.557663 -12286.796875	1.840 4.931 -92.677
ttt_random_weapon	306.787018 -84.136894 -12286.763672	1.464 4.912 -93.538
ttt_random_weapon	266.835815 4.451400 -12286.768555	1.514 4.916 -93.424
ttt_random_weapon	225.585831 -537.242493 -12286.798828	1.856 4.932 -92.641
ttt_random_weapon	174.715240 -594.483093 -12286.782227	1.670 4.928 -93.067
ttt_random_weapon	604.126648 -405.930573 -12286.791016	1.776 4.931 -92.825
ttt_random_weapon	643.221558 -230.368011 -12286.772461	1.564 4.920 -93.310
ttt_random_weapon	886.212708 248.251984 -12286.781250	1.665 4.927 -93.079
ttt_random_weapon	808.687561 400.278381 -12286.789063	1.750 4.931 -92.885
ttt_random_weapon	815.643311 676.286072 -12286.768555	1.522 4.917 -93.405
ttt_random_weapon	562.861206 964.080811 -12286.798828	1.864 4.933 -92.623
ttt_random_weapon	694.364441 2742.217041 -12798.807617	1.925 5.709 -92.622
ttt_random_weapon	-210.728699 1013.610291 -12286.809570	1.979 4.924 -92.358
ttt_random_weapon	-424.195129 861.193909 -12286.783203	1.680 4.928 -93.043
ttt_random_weapon	-713.538757 803.899353 -12286.782227	1.675 4.928 -93.055
ttt_random_weapon	-896.996277 403.774017 -12286.802734	1.906 4.932 -92.527
ttt_random_weapon	-778.443970 229.429077 -12286.779297	1.641 4.926 -93.134
ttt_random_weapon	-824.686829 124.466682 -12286.803711	1.914 4.933 -92.507
ttt_random_weapon	-857.600403 -197.091217 -12286.799805	1.872 4.934 -92.604
ttt_random_weapon	-758.732849 -564.452393 -12286.791992	1.782 4.932 -92.809
ttt_random_weapon	-653.089417 -656.851257 -12286.805664	1.941 4.929 -92.445
ttt_random_weapon	-261.447601 -820.801575 -12286.773438	1.574 4.921 -93.286
ttt_random_weapon	-80.841766 -814.561157 -12286.793945	1.803 4.931 -92.762
ttt_random_weapon	271.051361 -785.790344 -12286.798828	1.856 4.932 -92.641
ttt_random_weapon	428.747742 -763.954529 -12286.801758	1.897 4.931 -92.547
ttt_random_weapon	550.667480 -686.185425 -12286.777344	1.614 4.924 -93.195
ttt_random_weapon	883.986084 -714.180664 -12286.791992	1.782 4.932 -92.809
ttt_random_weapon	840.880249 -317.045166 -12286.791016	1.776 4.931 -92.825
ttt_random_weapon	937.950256 79.173653 -12286.784180	1.697 4.929 -93.006
ttt_random_weapon	924.982178 300.159515 -12286.770508	1.534 4.918 -93.378
ttt_random_weapon	538.819946 370.327026 -12286.790039	1.756 4.931 -92.870
ttt_random_weapon	185.851715 361.923370 -12286.762695	1.451 4.910 -93.568
ttt_random_weapon	-2.467622 325.430725 -12286.784180	1.697 4.929 -93.006
ttt_random_weapon	-108.297256 321.434784 -12286.804688	1.923 4.928 -92.487
ttt_random_weapon	-73.534943 201.226913 -12286.780273	1.650 4.926 -93.112
ttt_random_weapon	-92.178276 -8.529475 -12286.798828	1.864 4.933 -92.623
ttt_random_weapon	-68.884842 -98.129707 -12286.808594	1.970 4.924 -92.380
ttt_random_weapon	150.637451 -152.926041 -12286.802734	1.906 4.932 -92.527
ttt_random_weapon	209.369888 -171.113663 -12286.789063	1.750 4.931 -92.885
ttt_random_weapon	473.836060 -169.592712 -12286.810547	1.989 4.925 -92.336
ttt_random_weapon	504.136230 -105.075401 -12286.793945	1.803 4.931 -92.762
ttt_random_weapon	513.422241 62.049255 -12286.783203	1.680 4.928 -93.043
ttt_random_weapon	296.772156 -234.613983 -12286.788086	1.743 4.931 -92.899
ttt_random_weapon	29.475723 -350.026184 -12286.776367	1.610 4.924 -93.205
ttt_random_weapon	-309.192169 -329.922882 -12286.796875	1.833 4.934 -92.694
ttt_random_weapon	-412.630219 -110.305367 -12286.795898	1.825 4.933 -92.712
ttt_random_weapon	-453.256500 52.195030 -12286.775391	1.589 4.922 -93.251
ttt_random_weapon	-33.779381 22.339497 -12286.770508	1.540 4.919 -93.364
ttt_random_weapon	-8.137420 265.785339 -12286.796875	1.387 6.731 -93.200
ttt_random_weapon	87.045441 496.901398 -12286.787109	1.725 4.930 -92.941
ttt_random_weapon	183.021088 574.812744 -12286.766602	1.498 4.915 -93.460
ttt_random_weapon	-373.846344 203.569305 -12286.777344	1.618 4.924 -93.185
ttt_random_weapon	-228.914368 -429.094208 -12286.782227	1.670 4.928 -93.067
ttt_random_weapon	-125.158257 -361.513519 -12286.764648	1.473 4.913 -93.519
ttt_random_weapon	-440.270294 -257.360992 -12286.788086	1.743 4.931 -92.899
ttt_random_weapon	-568.325439 -256.279510 -12286.790039	1.762 4.932 -92.855
ttt_random_weapon	-606.264771 -90.851486 -12286.791016	1.776 4.931 -92.825
ttt_random_ammo	-346.069427 -109.519051 -12287.601563	-0.274 -0.003 0.118
ttt_random_ammo	-229.600739 -229.737152 -12287.644531	-0.319 -0.003 0.260
ttt_random_ammo	-65.943993 -299.456177 -12287.632813	-0.294 -0.003 0.234
