# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_67thway_v7_j_l
# Exported by: MattTheEmp
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1160.369995 1447.310059 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1174.469971 1447.119995 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1191.949951 1445.790039 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1208.069946 1446.000000 149.735001	0.000 0.000 0.000
ttt_random_weapon	-888.000000 -904.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-904.000000 -896.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-936.000000 -888.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-944.000000 -904.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	936.739990 1345.250000 122.373001	0.000 0.000 0.000
ttt_random_weapon	943.059021 1280.290039 122.373001	0.000 0.000 0.000
ttt_random_weapon	1315.640015 1110.859985 122.373001	0.000 89.000 0.000
ttt_random_weapon	-2223.379883 6214.379883 218.373001	0.000 0.000 0.000
ttt_random_weapon	-2225.500000 6123.410156 218.373001	0.000 0.000 0.000
ttt_random_weapon	-2229.830078 6026.379883 218.373001	0.000 0.000 0.000
ttt_random_weapon	-394.263000 2505.919922 90.372902	0.000 0.000 0.000
ttt_random_weapon	-388.950012 2430.820068 90.372902	0.000 0.000 0.000
ttt_random_weapon	-384.165985 2473.949951 90.372902	0.000 0.000 0.000
ttt_random_weapon	-1006.349976 5912.069824 74.372902	0.000 0.000 0.000
ttt_random_weapon	-999.372986 5861.589844 74.372902	0.000 0.000 0.000
ttt_random_weapon	-990.560974 5798.390137 74.372902	0.000 0.000 0.000
ttt_random_weapon	-991.924988 5755.830078 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1692.459961 5760.060059 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1692.869995 5826.359863 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1701.229980 5882.240234 74.372902	0.000 0.000 0.000
ttt_random_weapon	-2233.379883 5734.160156 58.372898	0.000 0.000 0.000
ttt_random_weapon	-2440.850098 5729.819824 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1846.880005 5184.459961 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1836.069946 5216.330078 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1216.810059 5223.000000 58.372898	0.000 0.000 0.000
ttt_random_weapon	-784.000000 1425.510010 162.000000	0.000 94.000 0.000
ttt_random_weapon	-467.355988 -528.338989 -629.627014	0.000 0.000 0.000
ttt_random_weapon	-1600.904297 4672.421387 49.192039	1.965 4.719 -92.391
ttt_random_weapon	-1593.391724 4643.185059 49.198441	1.893 4.717 -92.557
ttt_random_weapon	-1587.486206 4618.989746 49.199188	1.884 4.717 -92.576
ttt_random_weapon	-1589.699585 4576.471191 49.227131	1.569 4.686 -93.298
ttt_random_weapon	-1590.202148 4535.424805 49.216724	1.687 4.255 -93.029
ttt_random_weapon	55.736774 1782.548218 65.204315	1.827 4.929 -92.708
ttt_random_weapon	-102.946632 1711.238770 65.194778	1.934 4.925 -92.462
ttt_random_weapon	-152.444260 1632.831665 65.223083	1.615 4.920 -93.193
ttt_random_weapon	-93.697670 1600.503418 65.193970	1.943 4.925 -92.441
ttt_random_weapon	-961.428650 -52.455647 470.919525	-19.755 -7.378 87.191
ttt_random_weapon	-682.850464 -867.097900 69.704025	-2.485 17.258 85.323
ttt_random_weapon	-673.680603 -915.403259 201.214157	1.716 5.467 -92.962
ttt_random_weapon	53.222313 -1156.509155 65.196365	1.916 4.929 -92.503
ttt_random_weapon	-337.042480 -1549.356689 81.210419	1.517 2.780 -93.621
ttt_random_weapon	-355.686401 -1554.358032 81.868538	-0.625 1.936 -66.506
ttt_random_weapon	-352.357574 -1524.624146 81.196373	1.916 4.929 -92.503
ttt_random_weapon	1805.046997 -279.417267 69.215813	1.676 5.718 -93.134
ttt_random_weapon	1804.097168 -211.445724 69.214317	1.692 5.719 -93.101
ttt_random_weapon	1807.197144 -183.863571 69.211662	1.721 5.718 -93.043
ttt_random_weapon	1703.345459 1219.718994 77.737312	7.309 3.510 -92.820
ttt_random_weapon	1701.658813 989.622131 82.730988	7.447 5.895 -93.224
ttt_random_weapon	579.479431 891.006592 371.206665	1.800 4.775 -92.769
ttt_random_weapon	575.144226 1667.603882 371.199158	1.885 4.781 -92.575
ttt_random_weapon	570.011902 1350.232178 371.187347	1.427 2.817 -93.433
ttt_random_weapon	963.483398 1680.198730 243.710892	-2.415 -151.683 85.330
ttt_random_weapon	914.120056 1742.373047 371.222565	1.621 4.762 -93.180
ttt_random_weapon	1784.672607 1951.237061 73.068489	1.792 4.703 -92.689
ttt_random_weapon	-686.267578 1746.651245 89.714417	-1.647 147.716 84.483
ttt_random_weapon	-627.265259 1331.651367 69.662537	-1.181 -106.719 83.919
