# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_headlong
# Exported by: MattTheEmp
setting:	replacespawns 0
ttt_random_weapon	610.773621 -2537.729004 -2645.803955	1.918 4.720 -92.499
ttt_random_weapon	-125.513901 -2387.883789 -2645.793457	1.799 4.713 -92.772
ttt_random_weapon	-327.164825 -2595.537109 -2645.773682	1.576 4.688 -93.283
ttt_random_weapon	-212.062729 -1668.116577 -2733.801514	1.892 4.719 -92.559
ttt_random_weapon	-887.943359 -1520.745972 -2641.827393	1.153 8.404 -93.101
ttt_random_weapon	-706.187073 -1305.072998 -2569.282471	1.371 5.395 -93.766
ttt_random_weapon	-952.662415 -1054.289673 -2549.795898	1.828 4.715 -92.705
ttt_random_weapon	-24.301628 -1081.386353 -2549.786377	1.722 4.705 -92.949
ttt_random_weapon	-171.635284 -1525.264771 -2549.795898	1.828 4.715 -92.705
ttt_random_weapon	-857.533020 -1910.227905 -2733.791016	1.772 4.710 -92.834
ttt_random_weapon	-786.714233 -1873.736206 -2916.803223	1.909 4.720 -92.519
ttt_random_weapon	-796.498840 -1786.733765 -3015.559814	-16.082 7.642 75.073
ttt_random_weapon	-790.752563 -1799.537964 -3012.529053	-16.004 13.344 76.360
ttt_random_weapon	-793.458862 -1814.647217 -3013.415527	-23.256 7.904 81.401
ttt_random_weapon	-881.756836 -1637.353149 -2962.663330	4.162 4.870 -93.600
ttt_random_weapon	-427.163696 -1701.098999 -3022.784912	-1.013 -10.585 86.801
ttt_random_weapon	-396.490570 -1142.288818 -3004.283691	8.233 3.646 -93.643
ttt_random_weapon	-185.569016 -1123.082275 -3021.246094	2.351 -9.996 93.607
ttt_random_weapon	-201.860092 -1701.870483 -2916.800049	1.875 4.718 -92.597
ttt_random_weapon	-643.322327 -1849.981689 -2824.856201	2.344 4.486 -91.375
ttt_random_weapon	-693.461487 -1368.410889 -2824.797852	1.852 4.690 -92.651
ttt_random_weapon	-284.696533 -1317.094849 -2733.810547	1.993 4.723 -92.326
ttt_random_weapon	599.624512 -2086.223145 -2645.370850	-1.124 99.255 82.923
ttt_random_weapon	597.372131 -1144.882202 -2430.774414	1.587 4.690 -93.256
ttt_random_weapon	790.149902 -1080.580444 -2431.462646	1.635 5.766 -93.146
ttt_random_weapon	821.453735 236.103439 -2652.781006	1.662 4.698 -93.085
ttt_random_weapon	-626.923523 51.851952 -2575.475830	1.728 4.704 -92.934
ttt_random_weapon	-568.210815 55.165058 -2575.448730	1.422 4.662 -93.634
ttt_random_weapon	-521.151794 37.570339 -2575.484131	1.822 4.712 -92.720
ttt_random_weapon	-475.949280 55.435886 -2575.493408	1.928 4.718 -92.476
ttt_random_weapon	-500.004333 108.712585 -2575.459229	1.542 4.682 -93.360
ttt_random_weapon	-566.482422 114.583626 -2575.491943	1.910 4.718 -92.517
ttt_random_weapon	-659.188293 153.260269 -2575.475342	1.722 4.703 -92.947
ttt_random_weapon	1666.580688 -305.938843 -2896.794922	1.819 4.271 -92.726
ttt_random_weapon	1670.998169 -280.113800 -2896.759033	2.035 5.304 -89.721
ttt_random_weapon	1687.678223 -283.795044 -2895.498535	5.895 3.322 -84.332
ttt_random_weapon	1898.565918 695.826233 -2813.297119	1.955 4.721 -92.414
ttt_random_weapon	1855.891479 946.435547 -2813.252686	1.454 4.669 -93.562
ttt_random_weapon	1847.987061 993.607178 -2813.263916	1.580 4.687 -93.274
ttt_random_weapon	1448.487671 435.213959 -2813.284424	1.811 4.929 -92.743
ttt_random_weapon	1348.777100 551.396545 -2813.870605	2.286 -7.594 -93.172
ttt_random_weapon	1328.999634 861.693787 -2813.774170	1.584 7.628 -93.264
ttt_random_weapon	1287.135986 1015.695801 -2813.879395	1.862 -18.084 -91.587
ttt_random_weapon	1577.654297 1158.739136 -2813.803223	1.910 4.718 -92.516
ttt_random_weapon	1561.832764 1053.275024 -2813.703857	1.078 -0.263 -94.097
ttt_random_weapon	1510.272705 908.887939 -2813.713379	1.067 0.254 -94.215
ttt_random_weapon	1112.105347 43.865242 -2813.292725	1.907 4.929 -92.524
ttt_random_weapon	995.318848 -90.366501 -2813.284424	1.811 4.929 -92.743
ttt_random_weapon	792.761047 977.938416 -2802.789063	1.753 4.706 -92.877
ttt_random_weapon	662.704468 1201.899536 -2813.781982	1.672 4.699 -93.062
ttt_random_weapon	689.263428 1235.091675 -2813.797852	1.851 4.716 -92.651
ttt_random_weapon	781.423279 1214.949707 -2813.793213	1.799 4.712 -92.771
ttt_random_weapon	721.246521 437.176178 -2652.798584	1.860 4.716 -92.633
ttt_random_weapon	675.748962 436.216858 -2652.779785	1.648 4.695 -93.118
ttt_random_weapon	495.402802 960.742004 -2652.789795	1.762 4.596 -92.856
ttt_random_weapon	178.670609 1020.829468 -2637.803955	1.918 4.719 -92.499
ttt_random_weapon	220.925201 1030.246338 -2637.793945	1.806 4.713 -92.755
ttt_random_weapon	-504.451385 858.274048 -2678.375732	-7.243 7.682 -94.668
ttt_random_weapon	-434.398834 842.074463 -2667.532471	-7.167 7.708 -94.500
ttt_random_weapon	-319.749451 1119.540283 -2828.799316	1.868 4.716 -92.614
ttt_random_weapon	129.287659 -1758.027832 -3049.250244	1.739 5.044 -95.858
ttt_random_weapon	131.046417 -1918.429565 -3041.255371	-1.049 4.033 -92.346
ttt_random_weapon	560.465027 -1491.764160 -2954.809570	1.038 3.406 -91.405
ttt_random_weapon	552.177979 -1324.406006 -2956.871094	-0.019 3.278 -92.627
ttt_random_weapon	571.911987 -1099.350342 -2940.876709	4.774 -13.949 94.316
ttt_random_ammo	655.180969 -2518.662842 -2646.651123	0.051 0.000 -0.014
ttt_random_ammo	660.212097 -2541.804932 -2646.563965	1.288 0.031 1.561
ttt_random_ammo	653.278015 -2575.165039 -2646.582031	-0.063 -0.045 0.843
ttt_random_ammo	-95.145531 -2381.539307 -2646.655518	0.049 -0.000 0.019
ttt_random_ammo	-83.493202 -2384.226563 -2646.665039	0.047 0.000 -0.027
ttt_random_ammo	-146.561417 -2372.398682 -2646.605713	1.096 0.015 1.279
ttt_random_ammo	-341.325714 -2577.875000 -2646.657959	0.048 0.000 -0.022
ttt_random_ammo	-323.899597 -2577.857910 -2646.556396	1.124 0.029 1.363
ttt_random_ammo	-346.269470 -2635.966797 -2646.532715	1.891 0.100 2.351
ttt_random_ammo	-773.684814 -2518.550049 -2646.665039	0.047 0.000 -0.027
ttt_random_ammo	-767.913452 -2504.768311 -2646.606445	0.811 0.008 0.932
ttt_random_ammo	-726.283752 -2519.822998 -2646.651123	0.051 0.000 -0.014
ttt_random_ammo	-618.356018 -1827.153076 -2642.541016	0.770 -0.023 -0.933
ttt_random_ammo	-658.296753 -1656.636963 -2642.613770	0.314 -0.002 -0.324
ttt_random_ammo	-494.088257 -1713.542725 -2673.275635	72.455 179.990 170.323
ttt_random_ammo	-396.602234 -1723.520386 -2704.096680	72.461 179.891 170.242
ttt_random_ammo	-186.622177 -1644.887695 -2734.625732	0.122 0.000 0.086
