# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_whitehouse_b2
# Exported by: Mitt Romney
setting:	replacespawns 0
ttt_random_weapon	2047.143311 -250.763138 96.797104	-2.164 -7.581 84.497
ttt_random_weapon	1547.615112 -813.227600 65.198029	1.866 5.710 -92.745
ttt_random_weapon	1052.667358 -466.172943 65.221741	1.630 4.989 -93.159
ttt_random_weapon	1285.744507 -43.576492 65.195702	1.890 5.712 -92.694
ttt_random_weapon	1308.201782 -70.293816 65.221169	1.619 5.721 -93.251
ttt_random_weapon	1240.742065 -83.267433 65.211662	1.721 5.718 -93.043
ttt_random_weapon	316.636810 -421.869507 65.221336	1.634 4.988 -93.148
ttt_random_weapon	360.307892 -363.131012 65.190567	1.244 -16.319 -94.289
ttt_random_weapon	56.495049 -862.940063 65.230965	1.526 3.430 -93.398
ttt_random_weapon	10.533727 -829.531494 65.220932	1.639 4.988 -93.138
ttt_random_weapon	35.216560 -817.928467 65.222908	1.617 4.988 -93.189
ttt_random_weapon	-79.429062 -473.431793 72.576080	1.843 -61.115 169.004
ttt_random_weapon	-395.062836 -62.292130 65.236755	1.352 -117.556 -93.671
ttt_random_weapon	-358.983826 -24.283644 156.729568	8.192 -9.162 -4.915
ttt_random_weapon	-277.490784 -25.848196 156.748199	7.475 -32.603 -5.628
ttt_random_weapon	-187.601654 -37.992649 65.706360	-1.553 -158.202 84.271
weapon_ttt_m16	526.068970 -833.166992 -414.709015	0.500 270.000 90.000
weapon_ttt_m16	539.088989 -851.218994 -413.441986	-0.500 90.000 -90.000
weapon_ttt_m16	1115.290039 -1627.569946 -412.182007	0.000 0.000 90.000
weapon_ttt_m16	1060.989990 -1627.800049 -412.182007	0.000 0.000 90.000
weapon_ttt_m16	712.682983 -515.310974 200.682999	-0.500 90.000 -90.000
item_box_buckshot_ttt	770.023010 -830.937012 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	749.418030 -813.544006 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	723.572998 -801.971985 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	766.723022 -186.804993 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	764.908020 -218.505005 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-50.567699 -1685.209961 -413.821991	0.000 289.000 0.000
item_box_buckshot_ttt	-36.773899 -1681.349976 -413.821991	0.000 234.000 0.000
item_box_buckshot_ttt	-22.883699 -1685.439941 -413.821991	0.000 268.000 0.000
item_box_buckshot_ttt	748.349976 -194.184006 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2426.639893 -215.727997 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2410.000000 -214.817993 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2426.610107 -238.126999 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2409.969971 -237.216995 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2426.010010 -258.441986 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2409.370117 -257.532990 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2693.350098 -1117.119995 97.164597	0.000 90.000 0.000
